2025-09-15 15:46:24,665 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:23 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:24,665 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:24,666 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:24,666 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:24,666 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:24,667 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:24,667 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:46:24,668 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:24,668 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:24,668 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:46:34,880 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:34 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:34,881 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:34,881 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:34,881 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:34,881 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:34,882 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:34,883 | DEBUG | httpcore.http11 | send_request_headers.complete
2025-09-15 15:46:34,883 | DEBUG | httpcore.http11 | send_request_body.started request=<Request [b'POST']>
2025-09-15 15:46:34,883 | DEBUG | httpcore.http11 | send_request_body.complete
2025-09-15 15:46:34,883 | DEBUG | httpcore.http11 | receive_response_headers.started request=<Request [b'POST']>
2025-09-15 15:46:45,163 | DEBUG | httpcore.http11 | receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Server', b'nginx/1.18.0'), (b'Date', b'Mon, 15 Sep 2025 10:16:44 GMT'), (b'Content-Type', b'application/json'), (b'Content-Length', b'23'), (b'Connection', b'keep-alive'), (b'Strict-Transport-Security', b'max-age=31536000; includeSubDomains; preload'), (b'Access-Control-Allow-Origin', b'*'), (b'Access-Control-Allow-Methods', b'GET, POST, OPTIONS'), (b'Access-Control-Expose-Headers', b'Content-Length,Content-Type,Date,Server,Connection')])
2025-09-15 15:46:45,164 | DEBUG | httpcore.http11 | receive_response_body.started request=<Request [b'POST']>
2025-09-15 15:46:45,164 | DEBUG | httpcore.http11 | receive_response_body.complete
2025-09-15 15:46:45,164 | DEBUG | httpcore.http11 | response_closed.started
2025-09-15 15:46:45,164 | DEBUG | httpcore.http11 | response_closed.complete
2025-09-15 15:46:45,165 | DEBUG | httpcore.http11 | send_request_headers.started request=<Request [b'POST']>
2025-09-15 15:46:45,166 | DEBUG | httpcore.http11 | send_request_headers.complete
